,gamma,iteration_n,evaluation_step_n,mean_total_reward_default,mean_total_reward_mod
0,0.37626262626262624,62,66,0.737,0.729
1,0.7326262626262626,81,28,0.744,0.739
2,0.049595959595959596,19,76,0.724,0.762
3,0.8316161616161616,57,90,0.732,0.724
4,0.7326262626262626,95,76,0.733,0.754
5,0.2772727272727273,28,62,0.737,0.756
6,0.7722222222222221,76,24,0.736,0.719
7,0.39606060606060606,100,100,0.727,0.748
8,0.1485858585858586,28,19,0.715,0.726
9,0.5841414141414141,52,47,0.735,0.724
10,0.9603030303030302,24,71,0.734,0.742
11,0.4851515151515151,19,62,0.722,0.716
12,0.5544444444444444,95,47,0.724,0.751
13,0.5445454545454546,19,19,0.722,0.72
14,0.21787878787878787,85,57,0.737,0.724
15,0.30696969696969695,76,43,0.709,0.724
16,0.6138383838383838,66,95,0.735,0.718
17,0.9009090909090909,14,38,0.719,0.739
18,0.6138383838383838,24,10,0.724,0.719
19,0.8811111111111111,43,47,0.752,0.725
20,0.16838383838383839,24,28,0.733,0.732
21,0.5346464646464646,43,100,0.761,0.752
22,0.30696969696969695,19,57,0.734,0.732
23,0.6831313131313131,19,19,0.741,0.742
24,0.049595959595959596,100,76,0.707,0.75
25,0.7821212121212121,19,43,0.712,0.74
26,0.6732323232323232,85,28,0.714,0.719
27,0.12878787878787878,71,66,0.746,0.713
28,0.4851515151515151,52,19,0.721,0.75
29,0.8316161616161616,33,24,0.734,0.73
30,0.5841414141414141,38,66,0.72,0.743
31,0.8811111111111111,24,14,0.715,0.724
32,0.09909090909090908,24,38,0.743,0.725
33,0.693030303030303,66,90,0.739,0.732
34,0.09909090909090908,19,100,0.759,0.754
35,0.891010101010101,14,85,0.724,0.746
36,0.44555555555555554,66,28,0.738,0.767
37,0.10898989898989898,90,85,0.752,0.745
38,0.38616161616161615,52,24,0.731,0.727
39,0.33666666666666667,100,81,0.736,0.745
40,0.06939393939393938,62,100,0.729,0.73
41,0.0198989898989899,14,90,0.744,0.737
42,0.8217171717171717,47,38,0.735,0.752
43,0.9009090909090909,47,10,0.741,0.73
44,0.5445454545454546,33,33,0.746,0.727
45,0.45545454545454545,95,71,0.713,0.727
46,0.99,85,62,0.848,0.869
47,0.5742424242424242,81,100,0.718,0.758
48,0.6831313131313131,43,66,0.716,0.709
49,0.8415151515151514,33,66,0.732,0.742
